Carimbo de data/hora,Squad,Demanda,Demanda descrição,Qual o tipo de abordagem (tratar como problema ou oportunidade) [problema = interno e repetido; oportunidade = externo e competição],"Qual o tipo de escopo (operação: core ou o que já fazemos, melhorias, correções; inovação não temos ou conhecemos parcialmente)?","Principal Impacto (pensando em visibilidade a demanda é mais mercado, mais user ou mais plataforma-arquitetura-tecnologia)?",Esforço técnico para entregar em produção,Qual o impacto econômico que poderá trazer?,Observações adicionais,Avaliação
31/10/2025 11:57:25,T1,Chat do Portal de Compras Públicas -v3,"O Chat é um módulo de comunicação integrado ao Portal de Compras Públicas, criado para facilitar e registrar a interação entre os agentes públicos e os fornecedores durante as etapas dos processos de contratação (pregões, dispensas, concorrências, etc.).
O objetivo é oferecer uma ferramenta oficial, transparente e auditável, substituindo comunicações informais (como e-mails ou mensagens externas) por um canal institucional, com rastreabilidade, logs e conformidade legal.",Oportunidade,Inovação,"Mercado (leis, compliance, pedidos de clientes, competição)",Alto (91 dias a 180 dias),Baixo (ex.: até o custo da squad),"A visão é que o Chat se torne um hub central de comunicação dentro do ecossistema do Portal, conectando órgãos públicos, fornecedores, consultores e suporte técnico, mantendo todos os registros de forma segura, transparente e interoperável com os demais módulos da plataforma.",
31/10/2025 12:02:22,Martech,InovaHub - Monitoramento da Concorrência V2,"Scrapar notícias de competidores, (Instagram e notícias) classificá-las e exibir insights acionáveis para decisões estratégicas.",Oportunidade,Inovação,"Mercado (leis, compliance, pedidos de clientes, competição)",Outro,Demanda criada por phill e requer avaliação com o mesmo,Demanda criada por phill e requer avaliação com o mesmo,Esforço desconhecido
31/10/2025 12:03:42,Martech,Monitoramento da integridade das IAs (Foco no RAG Oracle),"Implementar uma rotina diária de verificação do funcionamento correto do serviço de categorização RAG. A verificação usará uma amostra de dados, comparará os resultados retornados com as categorias esperadas e, em caso de divergências notificar e congelar uso a fim de reduzir custos indevidos.",Problema,Operação,"Plataforma (tecnologia, escala, disponibilidade, barreira tecnológica, produtividade)",Outro,Demanda criada por phill e requer avaliação com o mesmo,"Demanda criada por phill e requer avaliação com o mesmo
",Esforço desconhecido
31/10/2025 12:03:44,Martech,REFIT DO SITE PUBLICO DO PORTAL,nesse momento a iniciativa tem objetivo de entregar IA trazendo o objeto da licitação resumido e sanando problemas da área logada com esse preenchimento + indexação de produto por local (licitação de café em minas gerais) + layout novo + autoatendimento integrado ao produto desde 27/10 conforme alinhado com T2.,Oportunidade,80% Operação + 20% inovação em algumas funcionalidades,"Experiência / Jornada (jornada de uso, engajamento, retenção)",Baixo (~15 dias a 30 dias),"o ROI calculado inicialmente foi de 24% considerando apenas squad Martech [cálculo em mar/25, possível recalcular]  ",,Explanar
31/10/2025 12:04:51,Martech,Onboarding Inteligente: Novos Fluxos Interativos,Implementar gatilhos omnichannel com oferta de processos para reduzir tempo de ativação e aumentar conversão.,Oportunidade,Inovação,"Mercado (leis, compliance, pedidos de clientes, competição)",Outro,Demanda criada por phill e requer avaliação com o mesmo,"Demanda criada por phill e requer avaliação com o mesmo
",Esforço desconhecido
31/10/2025 12:05:43,Martech,BuscaPRO v2 - Versão Integrada ao Site PCP,"Disponibilizar engine de busca utilizando Itens em vez de Objeto com filtros avançados no PCP para facilitar busca de processos, aumentando competitividade e reduzindo desertos.",Oportunidade,Inovação,"Experiência / Jornada (jornada de uso, engajamento, retenção)",Outro,Demanda criada por phill e requer avaliação com o mesmo,"Demanda criada por phill e requer avaliação com o mesmo
",Esforço desconhecido
31/10/2025 12:06:49,Martech,Recomendação de Processos - Fritz: Aplicação em Jornada,Desenvolver Jornada que sugere oportunidades aderentes ao perfil do fornecedor para aumentar participação e ticket médio.,Oportunidade,Inovação,"Experiência / Jornada (jornada de uso, engajamento, retenção)",Outro,Demanda criada por phill e requer avaliação com o mesmo,"Demanda criada por phill e requer avaliação com o mesmo
",Esforço desconhecido
31/10/2025 12:07:50,Martech,Encurtador de URL - Atualização V2,Atualizar engine para obter relatórios em tempo real para padronizar links de campanha e aprimorar métricas.,Oportunidade,Operação,"Plataforma (tecnologia, escala, disponibilidade, barreira tecnológica, produtividade)",Outro,Demanda criada por phill e requer avaliação com o mesmo,"Demanda criada por phill e requer avaliação com o mesmo
",Esforço desconhecido
31/10/2025 12:09:07,Martech,LP Aviso de Licitação - Atualização de Jornada e Performance,"Atualizar copy, melhorar Jornada de Cadastro, velocidade da landing page para elevar a conversão/reduzir CPL.",Oportunidade,Operação,"Plataforma (tecnologia, escala, disponibilidade, barreira tecnológica, produtividade)",Outro,Demanda criada por phill e requer avaliação com o mesmo,"Demanda criada por phill e requer avaliação com o mesmo
LP, de cadastro gratuito:
Aviso de licitações - Portal de Compras Públicas 

Já mexemos diversas veze…mas pelo pedido acima (da descrição), não está tudo implementado…entendo que seria nova demanda para projeto já criado…penso que não seria uma iniciativa mas sim uma melhoria em um item vigente",Esforço desconhecido
31/10/2025 12:10:15,Martech,InovaHub - Nova Estrutura + Autenticação + Segurança,"Refatorar modelo utilizado, adicionar SSO do Gmail para unificar sistemas internos e mitigar riscos de acesso.",Problema,Operação,"Plataforma (tecnologia, escala, disponibilidade, barreira tecnológica, produtividade)",Outro,Demanda criada por phill e requer avaliação com o mesmo,"Demanda criada por phill e requer avaliação com o mesmo
Bom, não foi feito visto que sequer lançamos a V1 do projeto, entender mais

",Esforço desconhecido
31/10/2025 12:11:03,Martech,"Monitoramento das APIs - Alertas, Volumetria e Anomalias","Implantar observabilidade com métricas, tracing e detecção de anomalias para garantir SLA e evitar falhas nas APIs Martech.",Problema,Operação,"Plataforma (tecnologia, escala, disponibilidade, barreira tecnológica, produtividade)",Outro,Demanda criada por phill e requer avaliação com o mesmo,"Demanda criada por phill e requer avaliação com o mesmo
",Esforço desconhecido
31/10/2025 12:11:58,Martech,InovaHub - Onboarding Novos Colaboradores PCP V2,Habilitar para que Facilities cadastrem novos colaboradores e que os mesmos sejam inseridos automaticamente no LMS de Educação + Portal do colaborador + Jira/Confluence de acordo com Área/Cargo.,Oportunidade,Inovação,"Plataforma (tecnologia, escala, disponibilidade, barreira tecnológica, produtividade)",Outro,Demanda criada por phill e requer avaliação com o mesmo,"Demanda criada por phill e requer avaliação com o mesmo
Não foi feito visto que ainda não temos nem v1 lançada do inova…onboarding existe lá. Maaaaas, penso que seria melhoria e não uma iniciativa…a não ser que seja criação de algo novo. 

",Esforço desconhecido
31/10/2025 12:13:01,Martech,PNCP - Busca de Contratos e Processos + Enriquecimento V2,Desenvolver crawlers com extração e  enriquecer com dados do Sintegra para oferecer contratos junto a processos homologados visando aumentar/melhorar dados internos para decisões estratégicas.,Oportunidade,Inovação,"Mercado (leis, compliance, pedidos de clientes, competição)",Outro,Demanda criada por phill e requer avaliação com o mesmo,"Demanda criada por phill e requer avaliação com o mesmo
Não seria algo do T2???",Esforço desconhecido
31/10/2025 12:13:52,Martech,Monitoria de Áudio com IA V2,escrevendo TAP após entendimento com os stakeholders das melhorias necessárias + análise de eficácia da IA ,Problema,Operação,"Plataforma (tecnologia, escala, disponibilidade, barreira tecnológica, produtividade)",Alto (91 dias a 180 dias),Médio (ex.: até o custo de todas as squads),"Considerei iniciativa como operação pois foi entregue a V1, então com isso mente agora não é mais inovação a segunda versão. Porém importante considerar que estamos falando de uma considerável melhoria ou até possível refatoração da IA, então o potencial de ganho é enorme para o time de qualidade. É uma iniciativa interna que beneficia os colaboradores do time de qualidade. Números iniciais de economia de horas foram: 

Horas economizadas/mês: 102,67h

Custo/hora de um coordenador: R$31,82

Valor economizado/mês: R$3.269,67",
31/10/2025 12:14:36,Martech,LMS Escola@Portal: Sistema de Cursos Online V2,"Lançar atualizações do LMS Interno com trilhas, login com SSO Google e aumentar engajamento.",Oportunidade,Inovação,"Experiência / Jornada (jornada de uso, engajamento, retenção)",Outro,Demanda criada por phill e requer avaliação com o mesmo,"Demanda criada por phill e requer avaliação com o mesmo
Achei algumas coisas já criadas (pois desconheço a demanda). Mas precisamos entender mais para seguir. 

Confluence:

[LMS] Nova Plataforma de Educação 

Temos um epico com poucas coisas feitas:

https://portaldecompraspublicas.atlassian.net/browse/DSV-47

Não me parece que nem V1 foi feita… se quiser nos explicar melhor, só falar ",Esforço desconhecido
31/10/2025 12:15:38,Martech,InovaHub - Monitoramento de Compradores V2,"Monitorar compradores, gerar score de oportunidade e alertas para apoiar em casos específicos e gerar insights preditivos.",Oportunidade,Inovação,"Experiência / Jornada (jornada de uso, engajamento, retenção)",Outro,Demanda criada por phill e requer avaliação com o mesmo,"Demanda criada por phill e requer avaliação com o mesmo
Ja temos, em ambiente de dev…entender o que almejam de V2. 






",Esforço desconhecido
31/10/2025 12:16:43,Martech,Roleta de Prêmios - Atualização V2,Atualizar mecânica gamificada de sorteios atrelada a Roleta para aumentar frequência de ativações através dos eventos.,Oportunidade,Inovação,"Experiência / Jornada (jornada de uso, engajamento, retenção)",Outro,Demanda criada por phill e requer avaliação com o mesmo,"Demanda criada por phill e requer avaliação com o mesmo. Ja temos, em ambiente de dev…entender o que almejam de V2. 







",Esforço desconhecido
31/10/2025 12:17:42,Martech,InovaHub - Sistema de Certificados PCP,Otimizar o processo de geração de certificados para cursos e eventos. Os dados  servirão de base p/ que o sistema possa emitir certificados automaticamente conseguindo  fortalecer autoridade e reforço de marca através de compartilhamento dos receptores dos certificados.,Oportunidade,Operação,"Experiência / Jornada (jornada de uso, engajamento, retenção)",Outro,Demanda criada por phill e requer avaliação com o mesmo,"Demanda criada por phill e requer avaliação com o mesmo
Ainda em ambiente de dev e nem foi testado. Avaliar quando desejam que volte. @Phillipe Antunes 

Provavelmente devemos priorizar com Qas e abrir espaço em nossas sprints caso haja bug.",Esforço desconhecido
31/10/2025 12:18:45,Martech,Integração: Amplifique.me + Zendesk,Sincronizar menções e gatilhos dos tickets com tags e SLA para visão 360° do cliente e resposta ágil NPS/CSAT.,Demanda criada por phill e requer avaliação com o mesmo,Demanda criada por phill e requer avaliação com o mesmo,Demanda criada por phill e requer avaliação com o mesmo,Outro,Demanda criada por phill e requer avaliação com o mesmo,"Demanda criada por phill e requer avaliação com o mesmo
",Refinar
31/10/2025 12:19:01,Martech,STRAPI e RAG da IA de resumo para REFIT V2,"melhorias prioritários do refit v2 já estão sendo desenvolvidas por pacotes estratégicos [layout, mais funcionalidades], porém necessário iniciar descoberta da ferramenta STRAPI para incluir as páginas de blog e eventos customizáveis pelo time de MKT, assim como corrigir a iniciativa de IA trazendo condições de fornecimento e garantia com nova estratégia RAG. ",STRAPI soluciona problema interno do portal (postagem de conteúdo no site) e RAG é oportunidade do mercado quanto a iniciativas com IA trazido pela consultora especialista em IA Ana Ladeira,Operação,"Plataforma (tecnologia, escala, disponibilidade, barreira tecnológica, produtividade)",Alto (91 dias a 180 dias),A segunda versão tem o propósito na verdade de diminuir o custo de consumir uma IA ,"O refit v2 tem o propósito de implementar em tempo hábil todas as funcionalidades fora do escopo da v1 que surgiram de ideia no meio do projeto,  melhorar internamente o uso da plataforma pelo time de MKT. Os ajustes de versão e layout possivelmente tem pouco impacto economico considerando que já foi o lançado o novo site e essa sustentação não terá impacto tão grande. A correção da IA traz mais impacto a longo prazo de credibilidade do portal frente a inovação com inteligência artificial. ",
31/10/2025 12:20:26,Martech,API Conteúdo: Ajuste para WhiteLabel,Ajuste no retorno na busca/exibição dos processos para atender necessidade das páginas externas criadas para White Label.(Retornar dados dos processos de acordo com consulta),Demanda criada por phill e requer avaliação com o mesmo,Demanda criada por phill e requer avaliação com o mesmo,Demanda criada por phill e requer avaliação com o mesmo,Outro,Demanda criada por phill e requer avaliação com o mesmo,"Demanda criada por phill e requer avaliação com o mesmo
 ISSO NÃO SERIA COM TIME DO KALIL?
ACHO ATÉ QUE JÁ CORRIGIMOS NO REFIT, NA EXIBIÇÃO DE 12 ITENS POR PROCESSO",Refinar
31/10/2025 12:21:42,T6,SRE - DataDog,"Consolidar o histórico de incidentes detectados pelo DataDog, priorizar causas-raiz e executar roadmap de correções para reduzir MTTR, evitar recorrências e elevar a confiabilidade do serviço.",Demanda criada por phill e requer avaliação com o mesmo,Demanda criada por phill e requer avaliação com o mesmo,Demanda criada por phill e requer avaliação com o mesmo,Outro,Demanda criada por phill e requer avaliação com o mesmo,"Demanda criada por phill e requer avaliação com o mesmo
",Refinar
31/10/2025 12:22:42,Martech,IA no módulo de planejamento (t4),"Foi sinalizado que iríamos começar a descoberta da iniciativa cross-squad com T4 sobre implementar inteligencia artificial no produto GPC. [mas sem início de fato]  
O propósito do projeto é realizar o discovery e implementação de recursos de inteligência artificial em cada módulo do GPC. ",Oportunidade,Inovação,Interessante considerar a visão de T4 sobre o projeto GPC. Trazer IA para o projeto tem impacto em plataforma mas também pode ter em mercado.,Outro,Impacto econômico a ser considerado segundo estudos de T4 sobre.,Iniciativa cross-squad T4 e martech,Explanar
31/10/2025 12:23:35,Martech,Painel de Inteligência Competitiva - BI,Criação de Painel com Alertas com objetivo de apresentar cenários competitivos entre os principais players do mercado;,Demanda criada por phill e requer avaliação com o mesmo,Demanda criada por phill e requer avaliação com o mesmo,"Mercado (leis, compliance, pedidos de clientes, competição)",Outro,Demanda criada por phill e requer avaliação com o mesmo,"Demanda criada por phill e requer avaliação com o mesmo
 Demanda criada por phill e requer avaliação com o mesmo
SERIA ISSO?

TERMINAMOS EM JUNHO

DADOS-70: Painel BI competitivo (1086372) - Amanda Gomes
Concluído: https://app.powerbi.com/reportEmbed?reportId=41b4aa9d-46bf-4179-9759-469ba9b320ed&autoAuth=true&ctid=5356591e-ce9d-4a84-9e9b-292223895693",Refinar
31/10/2025 12:23:42,Martech,UXUI - Módulo 3 e 4 GPC,,seguindo escopo de T4 sobre iniciativa.,seguindo escopo de T4 sobre iniciativa.,seguindo escopo de T4 sobre iniciativa.,Outro,seguindo escopo de T4 sobre iniciativa.,seguindo escopo de T4 sobre iniciativa.,Refinar
31/10/2025 12:24:18,Martech,UXUI - Chat fornecedor e pregoeiro v3 modo escuro,Seguindo escopo e demanda aberta de T1. ,Seguindo escopo e demanda aberta de T1. ,Seguindo escopo e demanda aberta de T1. ,Seguindo escopo e demanda aberta de T1. ,Outro,Seguindo escopo e demanda aberta de T1. ,Seguindo escopo e demanda aberta de T1. ,Refinar
31/10/2025 12:24:38,Martech,Estratégia Redução de Desertos: Painel Petrus,Criar Jornada com aplicação real que utiliza inteligência que prevê possíveis processos desertos.,Oportunidade,Inovação,"Plataforma (tecnologia, escala, disponibilidade, barreira tecnológica, produtividade)",Outro,Demanda criada por phill e requer avaliação com o mesmo,"Demanda criada por phill e requer avaliação com o mesmo
",
31/10/2025 12:25:40,Martech,DADOS - DEVOPs,"Demanda centraliza entre Phill, Ana e Sammuel ",Problema,Operação,"Plataforma (tecnologia, escala, disponibilidade, barreira tecnológica, produtividade)",Outro,"Demanda centraliza entre Phill, Ana e Sammuel, demanda interna. ","Demanda centraliza entre Phill, Ana e Sammuel .",
31/10/2025 12:25:49,Martech,iFrame - Sistema de Atendimento Integrado para Ativo,"Disponibilizar widget personalizável de chat, informações do cliente e base de conhecimento para ampliar capilaridade do suporte e NPS.",Demanda criada por phill e requer avaliação com o mesmo,Demanda criada por phill e requer avaliação com o mesmo,Demanda criada por phill e requer avaliação com o mesmo,Outro,Demanda criada por phill e requer avaliação com o mesmo,"Demanda criada por phill e requer avaliação com o mesmo
Projetos que não participei…o que encontrei para que tudo foi feito e pronto pra testes, mas sem nada escrito nas histórias…",Refinar
31/10/2025 12:27:02,Martech,DADOS - Dashboard do Zendesk (demanda da qualidade - Valeria),"entregue versão do dashboard sem atualização automática, equipe finalizando integração com zendesk para atualização automática diária. ",Problema,Operação,Demanda Interna - dashboard para análise interna das equipes e melhoria da visão da qualidade sobre o todo,Baixo (~15 dias a 30 dias),Demanda Interna - dashboard para análise interna das equipes e melhoria da visão da qualidade sobre o todo,,Explanar
31/10/2025 12:27:08,Martech,Serviço da ligação Automatizada - Gerador de Mailing Deserto Otimizado,"Gerar mailing otimizado, com segmentação correta usando o sistema atual 2CX, para convidar fornecedores, elevando propostas e reduzindo processos desertos.",Oportunidade,Operação,"Experiência / Jornada (jornada de uso, engajamento, retenção)",Outro,Demanda criada por phill e requer avaliação com o mesmo,"Demanda criada por phill e requer avaliação com o mesmo
ate achei documentação antiga Mas não conheço visto que foi antes de estar no PCP",
31/10/2025 12:30:09,Martech,Módulo de contratos - IA - APOIO NA IA,"Time Artemis @Julio Cesar Carvalho Machado Junior nos solicita apoio no entendimento de como implementar IA no módulo de contratos. 
",Oportunidade,Inovação,"Experiência / Jornada (jornada de uso, engajamento, retenção)",Outro,desconheço,apoio na IA...ja temos apoio com time de UI UX no layout dos módulos,
31/10/2025 12:31:09,Martech,IA: Homologação de Fornecedores por IA,"Solução de homologação documental de fornecedor automatizada com suporte híbrido de IA e atendimento humano para casos de erro, reduzindo tempo/custo de onboarding.
",Oportunidade,Inovação,"Experiência / Jornada (jornada de uso, engajamento, retenção)",Outro,desconheço,"Podemos fazer com gerência atual…mas sendo no novo, temos que aguardar ",
31/10/2025 12:32:13,Martech,[Dados] IA: Categorização automatizada de itens de licitação,"Solução de IA para automatizar a categorização de itens de licitação no PCP, visando reduzir ação manual, minimizar erros, aumentar a produtividade da equipe e melhorar a qualidade dos dados nos processos licitatórios.
",Oportunidade,Inovação,"Experiência / Jornada (jornada de uso, engajamento, retenção)",Outro,desconheço,,
31/10/2025 12:33:05,Martech,[Dados] Retenção de Fornecedores: Jornadas com WhatsApp/Email,"Disparar sequências comportamentais omnichannel para educar clientes, garantir pagamento durante renovação, reduzir casos de não renovação com intuito de reduzir o churn.",Oportunidade,Inovação,"Experiência / Jornada (jornada de uso, engajamento, retenção)",Outro,desconheço,,
31/10/2025 12:34:44,Martech,Onboarding Inteligente - Melhorias: RPA / Zenvia,"Melhorar o fluxo de Onboarding do Fornecedor após cadastro na LP e migrar para o novo sistema do Zenvia, garantindo a conversão do Lead.",Problema,Operação,"Experiência / Jornada (jornada de uso, engajamento, retenção)",Outro,desconheço,,
31/10/2025 12:35:52,Martech,Inovahub V1,"Plataforma criada para tratar de vários pontos da empresa: onboarding de funcionários, eventos, etc.",Problema,Operação,"Plataforma (tecnologia, escala, disponibilidade, barreira tecnológica, produtividade)",Outro,n,Retomar demanda. Ele esta pronto aguardando testes…podemos inserir na fila de testes e deixar horas nas sprints para bugs.,
31/10/2025 12:36:40,T6,Hub de Parceiros/Integração - WSO 2 - Gestão de APIs,"Estamos criando uma nova forma de expor nossas API’s e de assegurar a segurança desses acessos e disponibilização.

Para isso, faremos o levantamento de como trabalhar a demanda tendo como como a identidade (que tange a segurança de como iremos disponibilizar as APIs, seja para parceiro seja para ERP) e como as mesmas serão expostas e administradas (logins e acesso) para esses envolvidos (plataforma de exposição)",Problema,Operação,"Plataforma (tecnologia, escala, disponibilidade, barreira tecnológica, produtividade)",Alto (91 dias a 180 dias),Altíssimo (1x ou mais o faturamento atual),DS em andamento,
31/10/2025 12:37:30,T6,ApiServ3 ,"O projeto API PCPServiceV3 foi inicialmente criado com o objetivo de centralizar, em um único serviço, as diversas necessidades operacionais e de integração do Portal de Compras Públicas. No entanto, ao longo do tempo, o crescimento acelerado, desorganizado e despadronizado da aplicação trouxe uma série de problemas críticos que hoje impactam diretamente sua manutenibilidade, segurança e escalabilidade. Dado o cenário atual, foi dado início à iniciativa de modernização da API PCPServiceV3 para solucionar os diversos problemas do serviço.",Problema,Operação,"Plataforma (tecnologia, escala, disponibilidade, barreira tecnológica, produtividade)",Alto (91 dias a 180 dias),Altíssimo (1x ou mais o faturamento atual),"em andamento e sendo entrega por módulos, finalização prevista dez26",
31/10/2025 12:38:45,T6,SPARTANS X SUSTENTAÇÃO,Compilado de demandas que temos feitos para sustentação - melhorias em API’s.,Problema,Operação,"Plataforma (tecnologia, escala, disponibilidade, barreira tecnológica, produtividade)",Médio (31 dias a 90 dias),varia,"as que estamos fazendo no momento, pois varia de sprint a sprint:  1) https://ecustomize.visualstudio.com/Compras/_workitems/edit/90511 - processos que usam a dotação orçamentária ""voluntária""não estão sendo vinculados ao transferegov.
Esse item está em discovery para descobrirmos o que está acontecendo e depois implementarmos a correção, possivelmente não vai ser finalizado o discovery nessa sprint pois o item 94349 foi priorizado.

2) https://ecustomize.visualstudio.com/Compras/_workitems/edit/94349 - Fazer uma nova api para BuscarDados onde os campos numeroReferencia e anoReferencia  sejam opcionais
Esse item começou o desenvolvimento ontem, possivelmente será finalizado dentro da sprint.

3) https://ecustomize.visualstudio.com/Compras/_workitems/edit/89492 - inserir numeração unica para identificação dos itens do lote
Esse item está aguardando revisão de PR e teste.

4) https://ecustomize.visualstudio.com/Compras/_workitems/edit/89300 - inserir na API data e hora da criação da licitação.
Esse item está aguardando revisão de PR e teste.",
31/10/2025 12:39:50,T6,Hub de Integração: Solicitação de Chave API Key,"Implementar fluxo automatizado de pedido, aprovação e provisionamento de API Keys, acelerando o onboarding de parceiros, controlando consumo e fortalecendo segurança e monetização das integrações.",Demanda criada por phill e requer avaliação com o mesmo,Demanda criada por phill e requer avaliação com o mesmo,Demanda criada por phill e requer avaliação com o mesmo,Outro,Demanda criada por phill e requer avaliação com o mesmo,"Demanda criada por phill e requer avaliação com o mesmo
isso não seria WSO2?",Refinar
