Carimbo de data/hora,Squad,Demanda,Demanda descrição,Qual o tipo de abordagem (tratar como problema ou oportunidade) [problema = interno e repetido; oportunidade = externo e competição],"Qual o tipo de escopo (operação: core ou o que já fazemos, melhorias, correções; inovação não temos ou conhecemos parcialmente)?","Principal Impacto (pensando em visibilidade a demanda é mais mercado, mais user ou mais plataforma-arquitetura-tecnologia)?",Esforço técnico para entregar em produção,Qual o impacto econômico que poderá trazer?,Observações adicionais,Avaliação
31/10/2025 12:40:21,T4,"GPC (Core): Configurações, Gestão de Perfis e Permissões de Usuário","Desenvolver e disponibilizar o módulo de Configurações, Gestão de Perfis e Permissões, responsável por estabelecer a base funcional do sistema, incluindo regras de acesso, usuários, dashboards e integração com o módulo de Licitação.",Oportunidade,Inovação,"Mercado (leis, compliance, pedidos de clientes, competição)",Médio (31 dias a 90 dias),Alto (ex.: crescimento e impacto),"O GPC não é um novo produto, é o acelerador do nosso modelo de receita.
Ao eliminar a burocracia e economizar 230 dias de trabalho/ano para o Comprador, nós garantimos a fidelização de 1.441 clientes-alvo (LTV - Lifetime Value - altíssimo) do mercado de expansão. Essa base de Compradores, por sua vez, exige que nossos 18.156 Fornecedores Pagantes permaneçam e invistam no Portal, garantindo um potencial de R$1,728 milhão em ARR (Receita Recorrente Anual) para o Portal, com retorno do investimento (ROI) em menos de 6 meses. O GPC transforma o Portal no ecossistema completo e eficiente que o mercado precisa.

Todos os dados de mercado (R$9.882.204,49​ em Valor Total Pago e 18.156​ Fornecedores Pagantes) apresentados nesta análise foram extraídos do Dashboard de Clientes, mantido pela Equipe de Dados: https://app.powerbi.com/groups/2080a928-2cd9-4c81-94f1-502a8c3b7ee5/reports/089340d8-0173-468c-af26-8b0eb7813452/82c2436c02ce049b323e?experience=power-bi ",
31/10/2025 12:42:30,T4,GPC (Core): Catálogo e IA aplicada à Gestão de Materiais e Serviços,"Desenvolver e disponibilizar o módulo de Gestão de Materiais e Serviços, com funcionalidades para cadastro, importação, manutenção e categorização inteligente de itens em catálogo, além de dashboards de apoio gerencial.",Oportunidade,Inovação,"Mercado (leis, compliance, pedidos de clientes, competição)",Alto (91 dias a 180 dias),Alto (ex.: crescimento e impacto),"O GPC não é um novo produto, é o acelerador do nosso modelo de receita.
Ao eliminar a burocracia e economizar 230 dias de trabalho/ano para o Comprador, nós garantimos a fidelização de 1.441 clientes-alvo (LTV - Lifetime Value - altíssimo) do mercado de expansão. Essa base de Compradores, por sua vez, exige que nossos 18.156 Fornecedores Pagantes permaneçam e invistam no Portal, garantindo um potencial de R$1,728 milhão em ARR (Receita Recorrente Anual) para o Portal, com retorno do investimento (ROI) em menos de 6 meses. O GPC transforma o Portal no ecossistema completo e eficiente que o mercado precisa.

Todos os dados de mercado (R$9.882.204,49​ em Valor Total Pago e 18.156​ Fornecedores Pagantes) apresentados nesta análise foram extraídos do Dashboard de Clientes, mantido pela Equipe de Dados: https://app.powerbi.com/groups/2080a928-2cd9-4c81-94f1-502a8c3b7ee5/reports/089340d8-0173-468c-af26-8b0eb7813452/82c2436c02ce049b323e?experience=power-bi 
",
31/10/2025 12:44:45,T4,GPC Planejamento - DFD  (Documento de Formalização da Demanda),"Desenvolver e disponibilizar o módulo de DFD – Documento de Formalização da Demanda, permitindo o registro formal da necessidade da contratação pública, com validações automáticas e integração aos demais módulos da fase de planejamento.",Oportunidade,Inovação,"Mercado (leis, compliance, pedidos de clientes, competição)",Alto (91 dias a 180 dias),Alto (ex.: crescimento e impacto),"O GPC não é um novo produto, é o acelerador do nosso modelo de receita.
Ao eliminar a burocracia e economizar 230 dias de trabalho/ano para o Comprador, nós garantimos a fidelização de 1.441 clientes-alvo (LTV - Lifetime Value - altíssimo) do mercado de expansão. Essa base de Compradores, por sua vez, exige que nossos 18.156 Fornecedores Pagantes permaneçam e invistam no Portal, garantindo um potencial de R$1,728 milhão em ARR (Receita Recorrente Anual) para o Portal, com retorno do investimento (ROI) em menos de 6 meses. O GPC transforma o Portal no ecossistema completo e eficiente que o mercado precisa.

Todos os dados de mercado (R$9.882.204,49​ em Valor Total Pago e 18.156​ Fornecedores Pagantes) apresentados nesta análise foram extraídos do Dashboard de Clientes, mantido pela Equipe de Dados: https://app.powerbi.com/groups/2080a928-2cd9-4c81-94f1-502a8c3b7ee5/reports/089340d8-0173-468c-af26-8b0eb7813452/82c2436c02ce049b323e?experience=power-bi 
",
31/10/2025 12:46:23,T4,GPC Planejamento -  ETP (Estudo Técnico Preliminar),"Desenvolver e disponibilizar o módulo de ETP – Estudo Técnico Preliminar, com recursos para edição, versionamento, validações automáticas e reaproveitamento de dados do DFD, promovendo conformidade legal e eficiência na elaboração.",Oportunidade,Inovação,"Mercado (leis, compliance, pedidos de clientes, competição)",Outro,Alto (ex.: crescimento e impacto),"O GPC não é um novo produto, é o acelerador do nosso modelo de receita.
Ao eliminar a burocracia e economizar 230 dias de trabalho/ano para o Comprador, nós garantimos a fidelização de 1.441 clientes-alvo (LTV - Lifetime Value - altíssimo) do mercado de expansão. Essa base de Compradores, por sua vez, exige que nossos 18.156 Fornecedores Pagantes permaneçam e invistam no Portal, garantindo um potencial de R$1,728 milhão em ARR (Receita Recorrente Anual) para o Portal, com retorno do investimento (ROI) em menos de 6 meses. O GPC transforma o Portal no ecossistema completo e eficiente que o mercado precisa.

Todos os dados de mercado (R$9.882.204,49​ em Valor Total Pago e 18.156​ Fornecedores Pagantes) apresentados nesta análise foram extraídos do Dashboard de Clientes, mantido pela Equipe de Dados: https://app.powerbi.com/groups/2080a928-2cd9-4c81-94f1-502a8c3b7ee5/reports/089340d8-0173-468c-af26-8b0eb7813452/82c2436c02ce049b323e?experience=power-bi 
",
31/10/2025 12:47:52,T4,GPC Planejamento - GR (Gestão de Riscos),"Desenvolver o módulo de Gestão de Riscos, permitindo que os entes registrem, classifiquem e monitorem os riscos relacionados aos processos de contratação, com possibilidade de alertas, vinculação a documentos e consultas por órgão e tipo.",Oportunidade,Inovação,"Mercado (leis, compliance, pedidos de clientes, competição)",Outro,Alto (ex.: crescimento e impacto),"O GPC não é um novo produto, é o acelerador do nosso modelo de receita.
Ao eliminar a burocracia e economizar 230 dias de trabalho/ano para o Comprador, nós garantimos a fidelização de 1.441 clientes-alvo (LTV - Lifetime Value - altíssimo) do mercado de expansão. Essa base de Compradores, por sua vez, exige que nossos 18.156 Fornecedores Pagantes permaneçam e invistam no Portal, garantindo um potencial de R$1,728 milhão em ARR (Receita Recorrente Anual) para o Portal, com retorno do investimento (ROI) em menos de 6 meses. O GPC transforma o Portal no ecossistema completo e eficiente que o mercado precisa.

Todos os dados de mercado (R$9.882.204,49​ em Valor Total Pago e 18.156​ Fornecedores Pagantes) apresentados nesta análise foram extraídos do Dashboard de Clientes, mantido pela Equipe de Dados: https://app.powerbi.com/groups/2080a928-2cd9-4c81-94f1-502a8c3b7ee5/reports/089340d8-0173-468c-af26-8b0eb7813452/82c2436c02ce049b323e?experience=power-bi 
",
31/10/2025 12:50:09,T4,GPC Planejamento - TR (Termo de Referência),"Desenvolver o módulo de Termo de Referência (TR), permitindo a criação, edição, controle de versão, validação e exportação dos documentos de forma integrada e segura, com recursos de apoio inteligente.",Oportunidade,Inovação,"Mercado (leis, compliance, pedidos de clientes, competição)",Outro,Alto (ex.: crescimento e impacto),"O GPC não é um novo produto, é o acelerador do nosso modelo de receita.
Ao eliminar a burocracia e economizar 230 dias de trabalho/ano para o Comprador, nós garantimos a fidelização de 1.441 clientes-alvo (LTV - Lifetime Value - altíssimo) do mercado de expansão. Essa base de Compradores, por sua vez, exige que nossos 18.156 Fornecedores Pagantes permaneçam e invistam no Portal, garantindo um potencial de R$1,728 milhão em ARR (Receita Recorrente Anual) para o Portal, com retorno do investimento (ROI) em menos de 6 meses. O GPC transforma o Portal no ecossistema completo e eficiente que o mercado precisa.

Todos os dados de mercado (R$9.882.204,49​ em Valor Total Pago e 18.156​ Fornecedores Pagantes) apresentados nesta análise foram extraídos do Dashboard de Clientes, mantido pela Equipe de Dados: https://app.powerbi.com/groups/2080a928-2cd9-4c81-94f1-502a8c3b7ee5/reports/089340d8-0173-468c-af26-8b0eb7813452/82c2436c02ce049b323e?experience=power-bi 
",
31/10/2025 12:51:22,T4,GPC Planejamento - PCA (Plano de Contratações Anual),"Desenvolver o módulo de Plano de Contratações Anuais (PCA), permitindo aos entes criarem, editarem, validarem e acompanharem seus planos de contratação, com base em calendário fiscal e com funcionalidades de previsão orçamentária, painéis de comissão e integração com os demais documentos da fase interna.",Oportunidade,Inovação,"Mercado (leis, compliance, pedidos de clientes, competição)",Outro,Alto (ex.: crescimento e impacto),"O GPC não é um novo produto, é o acelerador do nosso modelo de receita.
Ao eliminar a burocracia e economizar 230 dias de trabalho/ano para o Comprador, nós garantimos a fidelização de 1.441 clientes-alvo (LTV - Lifetime Value - altíssimo) do mercado de expansão. Essa base de Compradores, por sua vez, exige que nossos 18.156 Fornecedores Pagantes permaneçam e invistam no Portal, garantindo um potencial de R$1,728 milhão em ARR (Receita Recorrente Anual) para o Portal, com retorno do investimento (ROI) em menos de 6 meses. O GPC transforma o Portal no ecossistema completo e eficiente que o mercado precisa.

Todos os dados de mercado (R$9.882.204,49​ em Valor Total Pago e 18.156​ Fornecedores Pagantes) apresentados nesta análise foram extraídos do Dashboard de Clientes, mantido pela Equipe de Dados: https://app.powerbi.com/groups/2080a928-2cd9-4c81-94f1-502a8c3b7ee5/reports/089340d8-0173-468c-af26-8b0eb7813452/82c2436c02ce049b323e?experience=power-bi 
",
31/10/2025 12:52:41,T4,GPC - Gestão Contratual + Aditivos com IA,"Desenvolver o módulo de Gestão Contratual + Aditivos, com funcionalidades para cadastro, edição, controle de vigência, assinaturas digitais, anexos, alertas e IA para recomendações contratuais, incluindo o gerenciamento completo de aditivos.",Oportunidade,Inovação,"Mercado (leis, compliance, pedidos de clientes, competição)",Outro,Alto (ex.: crescimento e impacto),"O GPC não é um novo produto, é o acelerador do nosso modelo de receita.
Ao eliminar a burocracia e economizar 230 dias de trabalho/ano para o Comprador, nós garantimos a fidelização de 1.441 clientes-alvo (LTV - Lifetime Value - altíssimo) do mercado de expansão. Essa base de Compradores, por sua vez, exige que nossos 18.156 Fornecedores Pagantes permaneçam e invistam no Portal, garantindo um potencial de R$1,728 milhão em ARR (Receita Recorrente Anual) para o Portal, com retorno do investimento (ROI) em menos de 6 meses. O GPC transforma o Portal no ecossistema completo e eficiente que o mercado precisa.

Todos os dados de mercado (R$9.882.204,49​ em Valor Total Pago e 18.156​ Fornecedores Pagantes) apresentados nesta análise foram extraídos do Dashboard de Clientes, mantido pela Equipe de Dados: https://app.powerbi.com/groups/2080a928-2cd9-4c81-94f1-502a8c3b7ee5/reports/089340d8-0173-468c-af26-8b0eb7813452/82c2436c02ce049b323e?experience=power-bi 
",
31/10/2025 12:54:01,T4,GPC Gerenciamento - ARP (Atas de Registro de Preços),"Desenvolver o módulo de Atas, com funcionalidades para criação, adesão, controle de vigência, relatórios por órgão e data, integração com o PNCP e sugestões inteligentes baseadas em comportamento de uso.",Oportunidade,Inovação,"Mercado (leis, compliance, pedidos de clientes, competição)",Outro,Alto (ex.: crescimento e impacto),"O GPC não é um novo produto, é o acelerador do nosso modelo de receita.
Ao eliminar a burocracia e economizar 230 dias de trabalho/ano para o Comprador, nós garantimos a fidelização de 1.441 clientes-alvo (LTV - Lifetime Value - altíssimo) do mercado de expansão. Essa base de Compradores, por sua vez, exige que nossos 18.156 Fornecedores Pagantes permaneçam e invistam no Portal, garantindo um potencial de R$1,728 milhão em ARR (Receita Recorrente Anual) para o Portal, com retorno do investimento (ROI) em menos de 6 meses. O GPC transforma o Portal no ecossistema completo e eficiente que o mercado precisa.

Todos os dados de mercado (R$9.882.204,49​ em Valor Total Pago e 18.156​ Fornecedores Pagantes) apresentados nesta análise foram extraídos do Dashboard de Clientes, mantido pela Equipe de Dados: https://app.powerbi.com/groups/2080a928-2cd9-4c81-94f1-502a8c3b7ee5/reports/089340d8-0173-468c-af26-8b0eb7813452/82c2436c02ce049b323e?experience=power-bi",
31/10/2025 12:54:59,T4,GPC Gerenciamento - Fornecedores (Visão Fornecedor e Visão Gerencial do Comprador),"Desenvolver o módulo de Gestão de Fornecedores, com funcionalidades para controle de contratos, aditivos e atas de registro de preços ativas, notificações, assinatura digital e sugestões automatizadas baseadas no comportamento e histórico de participação dos fornecedores.",Oportunidade,Inovação,"Mercado (leis, compliance, pedidos de clientes, competição)",Outro,Alto (ex.: crescimento e impacto),"O GPC não é um novo produto, é o acelerador do nosso modelo de receita.
Ao eliminar a burocracia e economizar 230 dias de trabalho/ano para o Comprador, nós garantimos a fidelização de 1.441 clientes-alvo (LTV - Lifetime Value - altíssimo) do mercado de expansão. Essa base de Compradores, por sua vez, exige que nossos 18.156 Fornecedores Pagantes permaneçam e invistam no Portal, garantindo um potencial de R$1,728 milhão em ARR (Receita Recorrente Anual) para o Portal, com retorno do investimento (ROI) em menos de 6 meses. O GPC transforma o Portal no ecossistema completo e eficiente que o mercado precisa.

Todos os dados de mercado (R$9.882.204,49​ em Valor Total Pago e 18.156​ Fornecedores Pagantes) apresentados nesta análise foram extraídos do Dashboard de Clientes, mantido pela Equipe de Dados: https://app.powerbi.com/groups/2080a928-2cd9-4c81-94f1-502a8c3b7ee5/reports/089340d8-0173-468c-af26-8b0eb7813452/82c2436c02ce049b323e?experience=power-bi",
31/10/2025 12:56:09,T4,GPC Adesão GPC via Landing Page (Keycloak),"Desenvolver o módulo de Adesão GPC via Landing Page (Keycloak). Fluxo de cadastro via LP, Criação automática e ativação interna via Keycloak

O módulo GPC terá identidade visual e fluxo de acesso próprios, operando via Landing Page dedicada.

A adesão ao GPC será realizada por formulário na LP, com criação automática no Keycloak e ativação manual interna.

Não haverá cobrança ou modelo comercial definido nesta primeira etapa. O acesso será controlado conforme critérios internos.",Oportunidade,Inovação,"Mercado (leis, compliance, pedidos de clientes, competição)",Outro,Alto (ex.: crescimento e impacto),"O GPC não é um novo produto, é o acelerador do nosso modelo de receita.
Ao eliminar a burocracia e economizar 230 dias de trabalho/ano para o Comprador, nós garantimos a fidelização de 1.441 clientes-alvo (LTV - Lifetime Value - altíssimo) do mercado de expansão. Essa base de Compradores, por sua vez, exige que nossos 18.156 Fornecedores Pagantes permaneçam e invistam no Portal, garantindo um potencial de R$1,728 milhão em ARR (Receita Recorrente Anual) para o Portal, com retorno do investimento (ROI) em menos de 6 meses. O GPC transforma o Portal no ecossistema completo e eficiente que o mercado precisa.

Todos os dados de mercado (R$9.882.204,49​ em Valor Total Pago e 18.156​ Fornecedores Pagantes) apresentados nesta análise foram extraídos do Dashboard de Clientes, mantido pela Equipe de Dados: https://app.powerbi.com/groups/2080a928-2cd9-4c81-94f1-502a8c3b7ee5/reports/089340d8-0173-468c-af26-8b0eb7813452/82c2436c02ce049b323e?experience=power-bi",
31/10/2025 13:02:52,T3, Individualização do fluxo de itens/lotes nas sessões públicas,"Atualmente, o Portal de Compras Públicas executa o avanço das fases processuais de forma consolidada, exigindo que todos os itens ou lotes estejam finalizados para permitir o prosseguimento da licitação (por exemplo, da habilitação para adjudicação e homologação), o que traz aumento significativo no número de chamados abertos por clientes para correção de ações equivocadas durante a execução do certame bem como o travamento do processo envolvendo itens que estão pendentes por exemplo na fase recursal, tendo outros itens que já poderiam ser homologados, flexibilizando os contratos e dando eficiência nas ações.",Problema,Operação,"Mercado (leis, compliance, pedidos de clientes, competição)",Médio (31 dias a 90 dias),Alto (ex.: crescimento e impacto),,
31/10/2025 13:05:05,T3,Reestruturação das fases recursais,"Revisar e reestruturar a mecânica de arquivamento das fases recursais para corrigir falhas que afetam o registro, exibição e rastreabilidade de intenções, recursos e contrarrazões, especialmente nos casos de inabilitação, reabilitação e fracasso de itens.",Problema,Operação,"Plataforma (tecnologia, escala, disponibilidade, barreira tecnológica, produtividade)",Médio (31 dias a 90 dias),Alto (ex.: crescimento e impacto),,
31/10/2025 13:06:25,T1,EXEMPLO teste,exemplEXEMPLO testeo,Problema,Inovação,"Mercado (leis, compliance, pedidos de clientes, competição)",Médio (31 dias a 90 dias),Baixo (ex.: até o custo da squad),Simplicidade,
31/10/2025 13:07:06,T1,EXEMPLO teste,EXEMPLO teste,Problema,Inovação,"Mercado (leis, compliance, pedidos de clientes, competição)",Baixo (~15 dias a 30 dias),Baixo (ex.: até o custo da squad),EXEMPLO teste,
31/10/2025 13:08:33,T3,PMI - Procedimento de Manifestação de Interesse,"O PMI é um processo auxiliar utilizado por órgãos públicos para identificar fornecedores interessados em atender uma futura demanda, permitindo que apresentem propostas, soluções ou projetos preliminares. Atualmente, o Portal não disponibiliza esta funcionalidade, o que obriga gestores públicos a conduzirem o processo de forma externa, muitas vezes por meio de documentos impressos, e-mails ou sistemas não integrados.",Oportunidade,Inovação,"Mercado (leis, compliance, pedidos de clientes, competição)",Médio (31 dias a 90 dias),Médio (ex.: até o custo de todas as squads),,
31/10/2025 13:10:28,T3,CPSI BRB - Contrato Público para Solução Inovadora,"Implementar no sistema a modalidade ""Contrato Público para Solução Inovadora – CPSI"", conforme previsto na Lei Complementar nº 182/2021 (Marco Legal das Startups e do Empreendedorismo Inovador). A funcionalidade deverá permitir que o comprador conduza processos voltados ao fomento da inovação pela demanda pública, contemplando as etapas de seleção, testes de solução inovadora e eventual contratação para fornecimento. O sistema deverá assegurar segurança jurídica, rastreabilidade, gestão de resultados e controle de participantes em todas as fases do procedimento.",Oportunidade,Inovação,"Mercado (leis, compliance, pedidos de clientes, competição)",Médio (31 dias a 90 dias),Alto (ex.: crescimento e impacto),,
31/10/2025 13:12:20,T3, Correção da Aplicação da LC 123,"Revisar e reestruturar a lógica de aplicação da LC 123 nos casos de desempate real, visando corrigir distorções que comprometem a correta priorização das MEs e EPPs, garantindo maior conformidade com o critério legal de preferência e maior transparência na classificação e julgamento dos itens.",Problema,Operação,"Mercado (leis, compliance, pedidos de clientes, competição)",Médio (31 dias a 90 dias),Alto (ex.: crescimento e impacto),,
31/10/2025 13:14:41,T3,Ajuste no Desempate Dispensa IN 67/21,"O ajuste no desempate da Dispensa, conforme previsto na Instrução Normativa nº 67/2021, tem como objetivo adequar o comportamento do sistema ao procedimento regulamentar aplicável nos casos de empate entre propostas em processos de dispensa de licitação realizados via plataforma.",Problema,Operação,"Mercado (leis, compliance, pedidos de clientes, competição)",Médio (31 dias a 90 dias),Médio (ex.: até o custo de todas as squads),,
31/10/2025 13:17:38,T3,Autonomia de Publicação e Flexibilização de Cadastro de Processos - Estatais,"A demanda consiste em permitir que usuários com o perfil Apoio possam publicar processos de licitação no sistema de forma autônoma, sem depender da intervenção de perfis superiores (Legislação das Estatais)

Além disso, será retirada a obrigatoriedade de preenchimento imediato das Datas Relevantes, permitindo que o processo seja cadastrado e publicado mesmo sem essas informações completas, que poderão ser incluídas posteriormente.",Problema,Operação,"Experiência / Jornada (jornada de uso, engajamento, retenção)",Médio (31 dias a 90 dias),Médio (ex.: até o custo de todas as squads),,
31/10/2025 13:20:07,T3,Implementação do Modo de Disputa Fechado e Aberto,"Desenvolvimento e implementação do modo de disputa “Fechado e Aberto” no sistema, conforme previsto na IN – Seges/ME 73/2022 e Lei 14.133/2021. Essa funcionalidade permitirá a configuração no cadastro do processo licitatório, a classificação automática das propostas submetidas na etapa fechada e a seleção dos licitantes para a etapa aberta, assegurando o atendimento aos normativos legais e ampliando a competitividade.",Oportunidade,Inovação,"Mercado (leis, compliance, pedidos de clientes, competição)",Médio (31 dias a 90 dias),Alto (ex.: crescimento e impacto),,
31/10/2025 13:21:05,T3,Modalidade Diálogo Competitivo,"Criação da modalidade ""Diálogo Competitivo"" no sistema, conforme previsto na Lei nº 14.133/2021, com possibilidade de uso por estatais com base na aplicação concomitante da Lei nº 13.303/2016. A modalidade será composta por três etapas principais: (1) habilitação de fornecedores, (2) fase de diálogo com os habilitados, e (3) fase competitiva com propostas finais.",Oportunidade,Inovação,"Mercado (leis, compliance, pedidos de clientes, competição)",Médio (31 dias a 90 dias),Alto (ex.: crescimento e impacto),,
31/10/2025 13:23:04,T3,Implementação de funcionalidades específicas para o sistema S,"Implementação de funcionalidades específicas para atender às entidades do Sistema S, criando um campo próprio para a legislação do Sistema S e personalizando a modalidade de dispensa para Sesc e Senac e Pregão eletrônico para o Sebrae",Oportunidade,Inovação,"Mercado (leis, compliance, pedidos de clientes, competição)",Médio (31 dias a 90 dias),Alto (ex.: crescimento e impacto),,
31/10/2025 13:34:34,T1,Notificador,"O Notificador é o módulo responsável por gerenciar e distribuir todas as comunicações automáticas do Portal de Compras Públicas, como e-mails transacionais, alertas de sistema e notificações de processos.
O projeto tem como objetivo modernizar e otimizar o sistema atual de envio, reduzindo falhas e reclamações, melhorando a entregabilidade, e oferecendo ao usuário maior controle sobre o que deseja receber e quando.",Problema,Operação,"Mercado (leis, compliance, pedidos de clientes, competição)",Baixo (~15 dias a 30 dias),Médio (ex.: até o custo de todas as squads),"O Notificador evoluirá para se tornar um hub central de comunicações do ecossistema PCP, com controle total sobre:

Quem recebe,

O que recebe,

Quando recebe, e

Como recebe (e-mail, push, SMS, etc. no futuro).

A meta é garantir eficiência operacional, conformidade com boas práticas de envio (anti-spam) e experiência personalizada para o usuário final.",
31/10/2025 13:37:40,T1,Serviço de Criptografia,"O Serviço de Criptografia é uma iniciativa estratégica voltada à modernização da plataforma do Portal de Compras Públicas, com o objetivo de unificar e padronizar os mecanismos de criptografia utilizados nos sistemas legados e nos novos serviços.
Ele representa um passo essencial para a migração segura e escalável das aplicações desenvolvidas em ASP Clássico para .NET (ou outras tecnologias futuras), garantindo compatibilidade, segurança e independência tecnológica.",Problema,Inovação,"Plataforma (tecnologia, escala, disponibilidade, barreira tecnológica, produtividade)",Médio (31 dias a 90 dias),Baixo (ex.: até o custo da squad),"O Serviço de Criptografia será o pilar central de segurança da informação da plataforma, garantindo que todos os módulos — antigos ou novos — possam operar com segurança, consistência e independência tecnológica.
Ele tornará o ecossistema agnóstico, modular e sustentável, permitindo que futuras migrações ou reescritas de sistemas ocorram sem perda de compatibilidade ou riscos de exposição de dados sensíveis.",
31/10/2025 13:41:44,T1,Moerdenização da plataforma área logada em microserviços,"O projeto tem como objetivo modernizar a arquitetura e a experiência de uso do Portal de Compras Públicas, substituindo gradualmente os módulos desenvolvidos em ASP Clássico por uma estrutura baseada em microserviços e uma nova interface moderna em React.
Essa reestruturação permitirá evoluir o sistema de forma modular, facilitando manutenções, integrações e entregas contínuas, sem a necessidade de reescrever toda a plataforma de uma só vez.",Oportunidade,Inovação,Todos,Outro,Alto (ex.: crescimento e impacto),"Com essa reestruturação, o Portal evoluirá para uma plataforma moderna, modular e sustentável, onde cada módulo poderá ser atualizado ou substituído de forma independente, reduzindo custos de manutenção e aumentando a velocidade de inovação.
A nova UX/UI oferecerá uma experiência fluida, intuitiva e responsiva, alinhada aos padrões atuais de design e às expectativas dos usuários públicos e fornecedores.",Explanar